root_index,xl,xu,x,relative_error,tol,iter,function,method
1,-4.5813396748,4.0400670605,-4.5813396748,86.1319441894,0.0001000000,9,(x/2) - tan(2*x),False Position
1,-2.1094798709,4.0400670605,-2.1094798709,117.1786390576,0.0001000000,10,(x/2) - tan(2*x),False Position
1,-2.9992464348,4.0400670605,-2.9992464348,29.6663373031,0.0001000000,11,(x/2) - tan(2*x),False Position
1,-1.4528359660,4.0400670605,-1.4528359660,106.4408167890,0.0001000000,12,(x/2) - tan(2*x),False Position
1,-0.7286273235,4.0400670605,-0.7286273235,99.3935608885,0.0001000000,13,(x/2) - tan(2*x),False Position
1,-0.7286273235,18.9292349026,18.9292349026,103.8492169772,0.0001000000,14,(x/2) - tan(2*x),False Position
1,-184.5693717724,18.9292349026,-184.5693717724,110.2558917121,0.0001000000,15,(x/2) - tan(2*x),False Position
1,-184.5693717724,16.3140053235,16.3140053235,1231.3553484387,0.0001000000,16,(x/2) - tan(2*x),False Position
1,-184.5693717724,14.7826254261,14.7826254261,10.3593228763,0.0001000000,17,(x/2) - tan(2*x),False Position
1,-184.5693717724,13.6972905414,13.6972905414,7.9237195227,0.0001000000,18,(x/2) - tan(2*x),False Position
1,-184.5693717724,11.4867802394,11.4867802394,19.2439504878,0.0001000000,19,(x/2) - tan(2*x),False Position
1,-184.5693717724,10.3292043343,10.3292043343,11.2068254983,0.0001000000,20,(x/2) - tan(2*x),False Position
1,-184.5693717724,7.8293502532,7.8293502532,31.9292661630,0.0001000000,21,(x/2) - tan(2*x),False Position
1,-184.5693717724,6.7680650655,6.7680650655,15.6807769636,0.0001000000,22,(x/2) - tan(2*x),False Position
1,-184.5693717724,6.2539093180,6.2539093180,8.2213495803,0.0001000000,23,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.4070946063,5.4070946063,15.6611780150,0.0001000000,24,(x/2) - tan(2*x),False Position
1,-184.5693717724,6.1406751251,6.1406751251,11.9462518997,0.0001000000,25,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.2473581437,5.2473581437,17.0241282748,0.0001000000,26,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.0359288002,5.0359288002,4.1984180436,0.0001000000,27,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.5695102006,4.5695102006,10.2071902493,0.0001000000,28,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.8895339467,3.8895339467,17.4822038640,0.0001000000,29,(x/2) - tan(2*x),False Position
1,-184.5693717724,6.9387620339,6.9387620339,43.9448430760,0.0001000000,30,(x/2) - tan(2*x),False Position
1,-184.5693717724,7.0178794262,7.0178794262,1.1273689315,0.0001000000,31,(x/2) - tan(2*x),False Position
1,-184.5693717724,8.7268321753,8.7268321753,19.5827387849,0.0001000000,32,(x/2) - tan(2*x),False Position
1,-184.5693717724,6.0535337718,6.0535337718,44.1609562997,0.0001000000,33,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.1188809605,5.1188809605,18.2589284358,0.0001000000,34,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.7208670479,4.7208670479,8.4309494119,0.0001000000,35,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.1021845388,4.1021845388,15.0817815047,0.0001000000,36,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.8467338799,2.8467338799,44.1014408738,0.0001000000,37,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.2995839037,2.2995839037,23.7934339058,0.0001000000,38,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.3201335986,4.3201335986,46.7705372710,0.0001000000,39,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.4890471195,3.4890471195,23.8198697412,0.0001000000,40,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.2496539740,3.2496539740,7.3667272703,0.0001000000,41,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.8810595176,2.8810595176,12.7937119713,0.0001000000,42,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.3541525310,2.3541525310,22.3820240898,0.0001000000,43,(x/2) - tan(2*x),False Position
1,-184.5693717724,99.0691914207,99.0691914207,97.6237289341,0.0001000000,44,(x/2) - tan(2*x),False Position
1,-184.5693717724,80.7608372617,80.7608372617,22.6698419429,0.0001000000,45,(x/2) - tan(2*x),False Position
1,-184.5693717724,67.7766437407,67.7766437407,19.1573273688,0.0001000000,46,(x/2) - tan(2*x),False Position
1,-184.5693717724,56.5139098573,56.5139098573,19.9291358745,0.0001000000,47,(x/2) - tan(2*x),False Position
1,-184.5693717724,47.3225300880,47.3225300880,19.4228409853,0.0001000000,48,(x/2) - tan(2*x),False Position
1,-184.5693717724,40.0186289127,40.0186289127,18.2512529133,0.0001000000,49,(x/2) - tan(2*x),False Position
1,-184.5693717724,38.0247888811,38.0247888811,5.2435268947,0.0001000000,50,(x/2) - tan(2*x),False Position
1,-184.5693717724,32.4820096379,32.4820096379,17.0641512180,0.0001000000,51,(x/2) - tan(2*x),False Position
1,-184.5693717724,27.1982778343,27.1982778343,19.4267145727,0.0001000000,52,(x/2) - tan(2*x),False Position
1,-184.5693717724,23.6790417418,23.6790417418,14.8622403344,0.0001000000,53,(x/2) - tan(2*x),False Position
1,-184.5693717724,20.3525767700,20.3525767700,16.3441956727,0.0001000000,54,(x/2) - tan(2*x),False Position
1,-184.5693717724,17.4375764405,17.4375764405,16.7167744869,0.0001000000,55,(x/2) - tan(2*x),False Position
1,-184.5693717724,15.0935553142,15.0935553142,15.5299469044,0.0001000000,56,(x/2) - tan(2*x),False Position
1,-184.5693717724,12.2415947918,12.2415947918,23.2972955805,0.0001000000,57,(x/2) - tan(2*x),False Position
1,-184.5693717724,10.3648891990,10.3648891990,18.1063739014,0.0001000000,58,(x/2) - tan(2*x),False Position
1,-184.5693717724,8.1241495718,8.1241495718,27.5812207466,0.0001000000,59,(x/2) - tan(2*x),False Position
1,-184.5693717724,7.1951406365,7.1951406365,12.9116160786,0.0001000000,60,(x/2) - tan(2*x),False Position
1,-184.5693717724,5.2131270568,5.2131270568,38.0196676216,0.0001000000,61,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.9362671947,4.9362671947,5.6086887348,0.0001000000,62,(x/2) - tan(2*x),False Position
1,-184.5693717724,4.4106146711,4.4106146711,11.9178972273,0.0001000000,63,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.6482552896,3.6482552896,20.8965470087,0.0001000000,64,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.5903050837,3.5903050837,1.6140746968,0.0001000000,65,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.4478076673,3.4478076673,4.1329862375,0.0001000000,66,(x/2) - tan(2*x),False Position
1,-184.5693717724,3.1794847125,3.1794847125,8.4391962556,0.0001000000,67,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.7826300772,2.7826300772,14.2618538682,0.0001000000,68,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.1907966926,2.1907966926,27.0145279385,0.0001000000,69,(x/2) - tan(2*x),False Position
1,-184.5693717724,2.6667179433,2.6667179433,17.8467037337,0.0001000000,70,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.9539372160,1.9539372160,36.4792031981,0.0001000000,71,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.9501557981,1.9501557981,0.1939033715,0.0001000000,72,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.9430931878,1.9430931878,0.3634725485,0.0001000000,73,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.9300456113,1.9300456113,0.6760242566,0.0001000000,74,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.9064033489,1.9064033489,1.2401500683,0.0001000000,75,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.8649327147,1.8649327147,2.2237067219,0.0001000000,76,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.7957206568,1.7957206568,3.8542775369,0.0001000000,77,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.6875640591,1.6875640591,6.4090365699,0.0001000000,78,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.5297844804,1.5297844804,10.3138435995,0.0001000000,79,(x/2) - tan(2*x),False Position
1,-184.5693717724,1.3094584823,1.3094584823,16.8257337729,0.0001000000,80,(x/2) - tan(2*x),False Position
1,-184.5693717724,0.9898719671,0.9898719671,32.2856415561,0.0001000000,81,(x/2) - tan(2*x),False Position
